date,consumption_gallons_dirty,consumption_gallons_clean,temp_f,base_load,seasonal_component,heat_effect,heatwave_effect,freeze_effect,holiday_effect,weekend_effect,noise,day_of_year,day_of_week,month,year,is_heatwave,is_freeze_event,is_holiday,is_weekend,data_quality_flag,trend_multiplier
2022-01-01,59750802.0,59750802.0,61.4,85000000.0,-27725319.0,0.0,0.0,0.0,0.0,3400000.0,-923879.0,1,5,1,2022,0,0,0,1,CLEAN,1.0
2022-01-02,59474532.0,59474532.0,56.0,85005818.0,-27842901.0,0.0,0.0,0.0,0.0,3400233.0,-1088618.0,2,6,1,2022,0,0,0,1,CLEAN,1.000068
2022-01-03,57648251.0,57648251.0,63.1,85011636.0,-27949590.0,0.0,0.0,0.0,0.0,0.0,586205.0,3,0,1,2022,0,0,0,0,CLEAN,1.000137
2022-01-04,58232951.0,58232951.0,63.9,85017454.0,-28045167.0,0.0,0.0,0.0,0.0,0.0,1260664.0,4,1,1,2022,0,0,0,0,CLEAN,1.000205
2022-01-05,56945191.0,56945191.0,52.3,85023272.0,-28129422.0,0.0,0.0,0.0,0.0,0.0,51341.0,5,2,1,2022,0,0,0,0,CLEAN,1.000274
2022-01-06,55186227.0,55186227.0,54.9,85029090.0,-28202150.0,0.0,0.0,0.0,0.0,0.0,-1640713.0,6,3,1,2022,0,0,0,0,CLEAN,1.000342
2022-01-07,208313954.0,55036712.0,60.7,85034908.0,-28263154.0,0.0,0.0,0.0,0.0,0.0,-1735042.0,7,4,1,2022,0,0,0,0,UNIT_ERROR,1.000411
2022-01-08,58309640.0,58309640.0,58.9,85040726.0,-28312244.0,0.0,0.0,0.0,0.0,3401629.0,-1820471.0,8,5,1,2022,0,0,0,1,CLEAN,1.000479
2022-01-09,57844215.0,57844215.0,60.1,85046543.0,-28349238.0,0.0,0.0,0.0,0.0,3401862.0,-2254952.0,9,6,1,2022,0,0,0,1,CLEAN,1.000548
2022-01-10,56818080.0,56818080.0,56.8,85052361.0,-28373961.0,0.0,0.0,0.0,0.0,0.0,139680.0,10,0,1,2022,0,0,0,0,CLEAN,1.000616
2022-01-11,58107344.0,58107344.0,63.8,85058179.0,-28386248.0,0.0,0.0,0.0,0.0,0.0,1435413.0,11,1,1,2022,0,0,0,0,CLEAN,1.000684
2022-01-12,56660939.0,56660939.0,63.4,85063997.0,-28385941.0,0.0,0.0,0.0,0.0,0.0,-17118.0,12,2,1,2022,0,0,0,0,CLEAN,1.000753
2022-01-13,53812529.0,53812529.0,60.6,85069815.0,-28372890.0,0.0,0.0,0.0,0.0,0.0,-2884396.0,13,3,1,2022,0,0,0,0,CLEAN,1.000821
2022-01-14,56485240.0,56485240.0,64.9,85075633.0,-28346957.0,0.0,0.0,0.0,0.0,0.0,-243436.0,14,4,1,2022,0,0,0,0,CLEAN,1.00089
2022-01-15,59968932.0,59968932.0,62.4,85081451.0,-28308010.0,0.0,0.0,0.0,0.0,3403258.0,-207768.0,15,5,1,2022,0,0,0,1,CLEAN,1.000958
2022-01-16,62909975.0,62909975.0,57.1,85087269.0,-28255926.0,0.0,0.0,0.0,0.0,3403491.0,2675142.0,16,6,1,2022,0,0,0,1,CLEAN,1.001027
2022-01-17,55042606.0,55042606.0,62.1,85093087.0,-28190595.0,0.0,0.0,0.0,0.0,0.0,-1859885.0,17,0,1,2022,0,0,0,0,CLEAN,1.001095
2022-01-18,56488298.0,56488298.0,56.9,85098905.0,-28111913.0,0.0,0.0,0.0,0.0,0.0,-498694.0,18,1,1,2022,0,0,0,0,CLEAN,1.001164
2022-01-19,59262576.0,59262576.0,64.3,85104723.0,-28019788.0,0.0,0.0,0.0,0.0,0.0,2177642.0,19,2,1,2022,0,0,0,0,CLEAN,1.001232
2022-01-20,57770872.0,57770872.0,60.7,85110541.0,-27914137.0,0.0,0.0,0.0,0.0,0.0,574468.0,20,3,1,2022,0,0,0,0,CLEAN,1.0013
2022-01-21,58040679.0,58040679.0,60.2,85116359.0,-27794887.0,0.0,0.0,0.0,0.0,0.0,719207.0,21,4,1,2022,0,0,0,0,CLEAN,1.001369
2022-01-22,61011393.0,61011393.0,58.4,85122177.0,-27661976.0,0.0,0.0,0.0,0.0,3404887.0,146305.0,22,5,1,2022,0,0,0,1,CLEAN,1.001437
2022-01-23,61439074.0,61439074.0,66.1,85127995.0,-27515352.0,0.0,0.0,0.0,0.0,3405120.0,421311.0,23,6,1,2022,0,0,0,1,CLEAN,1.001506
2022-01-24,58771851.0,58771851.0,60.7,85133812.0,-27354974.0,0.0,0.0,0.0,0.0,0.0,993013.0,24,0,1,2022,0,0,0,0,CLEAN,1.001574
2022-01-25,56925028.0,56925028.0,59.7,85139630.0,-27180812.0,0.0,0.0,0.0,0.0,0.0,-1033790.0,25,1,1,2022,0,0,0,0,CLEAN,1.001643
2022-01-26,59274044.0,59274044.0,60.1,85145448.0,-26992845.0,0.0,0.0,0.0,0.0,0.0,1121440.0,26,2,1,2022,0,0,0,0,CLEAN,1.001711
2022-01-27,56606508.0,56606508.0,63.8,85151266.0,-26791064.0,0.0,0.0,0.0,0.0,0.0,-1753694.0,27,3,1,2022,0,0,0,0,CLEAN,1.00178
2022-01-28,59001055.0,59001055.0,63.2,85157084.0,-26575472.0,0.0,0.0,0.0,0.0,0.0,419443.0,28,4,1,2022,0,0,0,0,CLEAN,1.001848
2022-01-29,62451668.0,62451668.0,63.5,85162902.0,-26346082.0,0.0,0.0,0.0,0.0,3406516.0,228331.0,29,5,1,2022,0,0,0,1,CLEAN,1.001916
2022-01-30,61685219.0,61685219.0,63.7,85168720.0,-26102917.0,0.0,0.0,0.0,0.0,3406749.0,-787333.0,30,6,1,2022,0,0,0,1,CLEAN,1.001985
2022-01-31,59299542.0,59299542.0,70.7,85174538.0,-25846012.0,0.0,0.0,0.0,0.0,0.0,-28983.0,31,0,1,2022,0,0,0,0,CLEAN,1.002053
2022-02-01,58809518.0,58809518.0,60.5,85180356.0,-25575415.0,0.0,0.0,0.0,0.0,0.0,-795423.0,32,1,2,2022,0,0,0,0,CLEAN,1.002122
2022-02-02,58525580.0,58525580.0,60.2,85186174.0,-25291182.0,0.0,0.0,0.0,0.0,0.0,-1369412.0,33,2,2,2022,0,0,0,0,CLEAN,1.00219
2022-02-03,59746733.0,59746733.0,59.2,85191992.0,-24993382.0,0.0,0.0,0.0,0.0,0.0,-451877.0,34,3,2,2022,0,0,0,0,CLEAN,1.002259
2022-02-04,59104853.0,59104853.0,65.1,85197810.0,-24682095.0,0.0,0.0,0.0,0.0,0.0,-1410861.0,35,4,2,2022,0,0,0,0,CLEAN,1.002327
2022-02-05,64666913.0,64666913.0,67.3,85203628.0,-24357412.0,0.0,0.0,0.0,0.0,3408145.0,412553.0,36,5,2,2022,0,0,0,1,CLEAN,1.002396
2022-02-06,63128416.0,63128416.0,62.5,85209446.0,-24019435.0,0.0,0.0,0.0,0.0,3408378.0,-1469972.0,37,6,2,2022,0,0,0,1,CLEAN,1.002464
2022-02-07,62457056.0,62457056.0,59.7,85215264.0,-23668277.0,0.0,0.0,0.0,0.0,0.0,910070.0,38,0,2,2022,0,0,0,0,CLEAN,1.002533
2022-02-08,60406714.0,60406714.0,59.9,85221081.0,-23304063.0,0.0,0.0,0.0,0.0,0.0,-1510304.0,39,1,2,2022,0,0,0,0,CLEAN,1.002601
2022-02-09,61576018.0,61576018.0,66.0,85226899.0,-22926928.0,0.0,0.0,0.0,0.0,0.0,-723953.0,40,2,2,2022,0,0,0,0,CLEAN,1.002669
2022-02-10,61897150.0,61897150.0,66.6,85232717.0,-22537017.0,0.0,0.0,0.0,0.0,0.0,-798550.0,41,3,2,2022,0,0,0,0,CLEAN,1.002738
2022-02-11,64798350.0,64798350.0,65.9,85238535.0,-22134489.0,0.0,0.0,0.0,0.0,0.0,1694303.0,42,4,2,2022,0,0,0,0,CLEAN,1.002806
2022-02-12,67356947.0,67356947.0,61.3,85244353.0,-21719511.0,0.0,0.0,0.0,0.0,3409774.0,422330.0,43,5,2,2022,0,0,0,1,CLEAN,1.002875
2022-02-13,67097163.0,67097163.0,65.0,85250171.0,-21292260.0,0.0,0.0,0.0,0.0,3410007.0,-270755.0,44,6,2,2022,0,0,0,1,CLEAN,1.002943
2022-02-14,65040844.0,65040844.0,64.8,85255989.0,-20852927.0,0.0,0.0,0.0,0.0,0.0,637782.0,45,0,2,2022,0,0,0,0,CLEAN,1.003012
2022-02-15,62165151.0,62165151.0,65.4,85261807.0,-20401710.0,0.0,0.0,0.0,0.0,0.0,-2694945.0,46,1,2,2022,0,0,0,0,CLEAN,1.00308
2022-02-16,65273637.0,65273637.0,68.2,85267625.0,-19938819.0,0.0,0.0,0.0,0.0,0.0,-55168.0,47,2,2,2022,0,0,0,0,CLEAN,1.003149
2022-02-17,68363993.0,68363993.0,65.8,85273443.0,-19464474.0,0.0,0.0,0.0,0.0,0.0,2555024.0,48,3,2,2022,0,0,0,0,CLEAN,1.003217
2022-02-18,66469653.0,66469653.0,67.8,85279261.0,-18978904.0,0.0,0.0,0.0,0.0,0.0,169296.0,49,4,2,2022,0,0,0,0,CLEAN,1.003285
2022-02-19,70301013.0,70301013.0,65.6,85285079.0,-18482348.0,0.0,0.0,0.0,0.0,3411403.0,86880.0,50,5,2,2022,0,0,0,1,CLEAN,1.003354
