date,consumption_gallons_dirty,consumption_gallons_clean,temp_f,base_load,seasonal_component,heat_effect,heatwave_effect,freeze_effect,holiday_effect,weekend_effect,noise,day_of_year,day_of_week,month,year,is_heatwave,is_freeze_event,is_holiday,is_weekend,data_quality_flag,trend_multiplier,consumption_repaired,repair_action,model_signal,obs_to_model_ratio,local_scale,demand_lag_1,demand_lag_2,demand_lag_7,demand_lag_14,demand_lag_365,temp_lag_1,temp_lag_2,demand_roll7_mean,demand_roll7_std,demand_roll30_mean,temp_roll7_mean,month_sin,month_cos,doy_sin,doy_cos,dow_sin,dow_cos,temp_x_month,temp_above_95,temp_above_80,year_index
2023-01-01,63315096.0,63315096.0,66.6,87123546.0,-28417978.0,0.0,0.0,0.0,0.0,3484942.0,1124586.0,1,6,1,2023,0,0,0,1,CLEAN,1.024983,63315096.0,NONE,62190510.0,1.0180829197252121,1.0180829197252121,63230420.0,57854739.0,62992304.0,65246969.0,59750802.0,59.7,56.0,60114342.16346081,2431563.4325098707,62861077.01189692,59.74285714285714,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,-0.7818314824680299,0.6234898018587334,66.6,0.0,0.0,0.999315537303217
2023-01-02,60628194.0,60628194.0,57.7,87129363.0,-28538450.0,0.0,0.0,0.0,0.0,0.0,2037280.0,2,0,1,2023,0,0,0,0,CLEAN,1.025051,60628194.0,NONE,58590913.0,1.0347712792937704,1.0347712792937704,63315096.0,63230420.0,56907984.147952445,61152218.0,59474532.0,66.6,59.7,60160455.30631796,2497407.9960981663,62781752.545230255,61.114285714285714,0.49999999999999994,0.8660254037844387,0.03439806061360801,0.9994082116062598,0.0,1.0,57.7,0.0,0.0,1.002053388090349
2023-01-03,57342326.0,57342326.0,57.4,87135181.0,-28647756.0,0.0,0.0,0.0,0.0,0.0,-1145100.0,3,1,1,2023,0,0,0,0,CLEAN,1.02512,57342326.0,NONE,58487425.0,0.9804214495680055,0.9804214495680055,60628194.0,63315096.0,58910155.99627332,61144869.0,57648251.0,57.7,66.6,60691913.85661047,2044723.0337572999,62499990.078563586,60.81428571428571,0.49999999999999994,0.8660254037844387,0.051584366869408364,0.9986686402879997,0.7818314824680298,0.6234898018587336,57.4,0.0,0.0,1.0047912388774811
2023-01-04,58099324.0,58099324.0,61.4,87140999.0,-28745673.0,0.0,0.0,0.0,0.0,0.0,-296002.0,4,2,1,2023,0,0,0,0,CLEAN,1.025188,58099324.0,NONE,58395326.0,0.9949310669144993,0.9949310669144993,57342326.0,60628194.0,60909143.0,60088016.0,58232951.0,57.4,57.7,60467938.14285714,2337351.6210476863,62137515.84523025,60.48571428571428,0.49999999999999994,0.8660254037844387,0.06875540848113941,0.9976335468520451,0.9749279121818236,-0.22252093395631434,61.4,0.0,0.0,1.0075290896646132
2023-01-05,59291669.0,59291669.0,64.0,87146817.0,-28831984.0,0.0,0.0,0.0,0.0,0.0,976836.0,5,3,1,2023,0,0,0,0,CLEAN,1.025257,59291669.0,NONE,58314833.0,1.0167510725787383,1.0167510725787383,58099324.0,57342326.0,59995649.0,61335990.0,56945191.0,61.4,57.4,60066535.428571425,2485527.3706335006,61921645.73814086,60.42857142857143,0.49999999999999994,0.8660254037844387,0.08590610426133272,0.9963032375991965,0.43388373911755823,-0.900968867902419,64.0,0.0,0.0,1.0102669404517455
2023-01-06,58321206.0,58321206.0,60.7,87152635.0,-28906480.0,0.0,0.0,0.0,0.0,0.0,75052.0,6,4,1,2023,0,0,0,0,CLEAN,1.025325,58321206.0,NONE,58246155.0,1.0012885142375492,1.0012885142375492,59291669.0,58099324.0,57854739.0,61471577.0,55186227.0,64.0,61.4,59965966.85714286,2503053.891231892,61738530.638140865,60.4,0.49999999999999994,0.8660254037844387,0.10303137904317879,0.9946781061893646,-0.433883739117558,-0.9009688679024191,60.7,0.0,0.0,1.0130047912388775
2023-01-07,60215064.0,60215064.0,66.0,87158453.0,-28968960.0,0.0,0.0,0.0,0.0,3486338.0,-1460768.0,7,5,1,2023,0,0,0,1,CLEAN,1.025394,60215064.0,NONE,61675831.0,0.9763154062731639,0.9763154062731639,58321206.0,59291669.0,63230420.0,64162412.0,55036711.75693527,60.7,64.0,60032605.0,2442967.5742252474,61512523.33814086,61.07142857142857,0.49999999999999994,0.8660254037844387,0.1201261651823505,0.9927586335250793,-0.9749279121818236,-0.2225209339563146,66.0,0.0,0.0,1.0157426420260096
2023-01-08,62173711.0,62173711.0,64.1,87164271.0,-29019227.0,0.0,0.0,0.0,0.0,3486571.0,542096.0,8,6,1,2023,0,0,0,1,CLEAN,1.025462,62173711.0,NONE,61631615.0,1.00879574549523,1.00879574549523,60215064.0,58321206.0,63315096.0,62992304.0,58309640.0,66.0,60.7,59601839.85714286,2013161.0163557094,61392420.43814086,61.971428571428575,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,-0.7818314824680299,0.6234898018587334,64.1,0.0,0.0,1.0184804928131417
2023-01-09,58869623.0,58869623.0,64.1,87170089.0,-29057096.0,0.0,0.0,0.0,0.0,0.0,756630.0,9,0,1,2023,0,0,0,0,CLEAN,1.02553,58869623.0,NONE,58112993.0,1.0130199798864257,1.0130199798864257,62173711.0,60215064.0,60628194.0,56907984.147952445,57844215.0,64.1,66.0,59438784.85714286,1681122.894995379,61352336.03814086,61.61428571428571,0.49999999999999994,0.8660254037844387,0.1542040475626894,0.988039023376751,0.0,1.0,64.1,0.0,0.0,1.0212183436002737
2023-01-10,58208543.0,58208543.0,63.0,87175907.0,-29082388.0,0.0,0.0,0.0,0.0,0.0,115024.0,10,1,1,2023,0,0,0,0,CLEAN,1.025599,58208543.0,NONE,58093519.0,1.0019799799010283,1.0019799799010283,58869623.0,62173711.0,57342326.0,58910155.99627332,56818080.0,64.1,64.1,59187560.428571425,1603355.8684003132,61074288.604807526,62.528571428571425,0.49999999999999994,0.8660254037844387,0.17117705961019986,0.985240282501282,0.7818314824680298,0.6234898018587336,63.0,0.0,0.0,1.0239561943874058
2023-01-11,58373949.0,58373949.0,70.1,87181725.0,-29094933.0,0.0,0.0,0.0,0.0,0.0,287157.0,11,2,1,2023,0,0,0,0,CLEAN,1.025667,58373949.0,NONE,58086792.0,1.0049435851096753,1.0049435851096753,58208543.0,58869623.0,58099324.0,60909143.0,58107344.0,63.0,64.1,59311305.71428572,1464632.775550936,60871617.638140865,63.32857142857143,0.49999999999999994,0.8660254037844387,0.18809941761179758,0.9821499931752291,0.9749279121818236,-0.22252093395631434,70.1,0.0,0.0,1.0266940451745379
2023-01-12,57754634.0,57754634.0,60.0,87187543.0,-29094570.0,0.0,0.0,0.0,0.0,0.0,-338339.0,12,3,1,2023,0,0,0,0,CLEAN,1.025736,57754634.0,NONE,58092973.0,0.9941759048895639,0.9941759048895639,58373949.0,58208543.0,59291669.0,59995649.0,56660939.0,70.1,63.0,59350537.85714286,1430026.7369370945,60695820.004807524,64.57142857142857,0.49999999999999994,0.8660254037844387,0.20496611396949532,0.9787690698649216,0.43388373911755823,-0.900968867902419,60.0,0.0,0.0,1.0294318959616702
2023-01-13,60045657.0,60045657.0,52.9,87193361.0,-29081145.0,0.0,0.0,0.0,0.0,0.0,1933442.0,13,4,1,2023,0,0,0,0,CLEAN,1.025804,60045657.0,NONE,58112216.0,1.0332708186519681,1.0332708186519681,57754634.0,58373949.0,58321206.0,57854739.0,53812529.0,60.0,70.1,59130961.428571425,1553265.685211979,60529647.97147419,64.0,0.49999999999999994,0.8660254037844387,0.22177215755648186,0.975098513039961,-0.433883739117558,-0.9009688679024191,52.9,0.0,0.0,1.0321697467488022
2023-01-14,60454535.0,60454535.0,67.4,87199179.0,-29054516.0,0.0,0.0,0.0,0.0,3487967.0,-1178094.0,14,5,1,2023,0,0,0,1,CLEAN,1.025873,60454535.0,NONE,61632630.0,0.9808852064239348,0.9808852064239348,60045657.0,57754634.0,60215064.0,63230420.0,56485240.0,52.9,60.0,59377311.571428575,1540127.2197036531,60447394.53814086,62.885714285714286,0.49999999999999994,0.8660254037844387,0.23851257519407648,0.9711394088771653,-0.9749279121818236,-0.2225209339563146,67.4,0.0,0.0,1.0349075975359343
2023-01-15,60910388.0,60910388.0,59.2,87204997.0,-29014548.0,0.0,0.0,0.0,0.0,3488200.0,-768260.0,15,6,1,2023,0,0,0,1,CLEAN,1.025941,60910388.0,NONE,61678649.0,0.9875441337893117,0.9875441337893117,60454535.0,60045657.0,62173711.0,63315096.0,59968932.0,67.4,52.9,59411521.71428572,1564307.0864122983,60347797.171474196,63.08571428571429,0.49999999999999994,0.8660254037844387,0.2551824131233728,0.9668929289391521,-0.7818314824680299,0.6234898018587334,59.2,0.0,0.0,1.0376454483230664
2023-01-16,58264068.0,58264068.0,61.5,87210815.0,-28961117.0,0.0,0.0,0.0,0.0,0.0,14371.0,16,0,1,2023,0,0,0,0,CLEAN,1.02601,58264068.0,NONE,58249698.0,1.0002466965579804,1.0002466965579804,60910388.0,60454535.0,58869623.0,60628194.0,62909975.0,59.2,67.4,59231047.0,1229583.4388427841,60399070.504807524,62.385714285714286,0.49999999999999994,0.8660254037844387,0.2717767384711357,0.9623603298276545,0.0,1.0,61.5,0.0,0.0,1.0403832991101984
2023-01-17,59472416.0,59472416.0,66.4,87216632.0,-28894107.0,0.0,0.0,0.0,0.0,0.0,1149891.0,17,1,1,2023,0,0,0,0,CLEAN,1.026078,59472416.0,NONE,58322525.0,1.0197160702490162,1.0197160702490162,58264068.0,60910388.0,58208543.0,57342326.0,55042606.0,61.5,59.2,59144539.14285714,1279536.9222034581,60255681.104807526,62.01428571428572,0.49999999999999994,0.8660254037844387,0.2882906407095177,0.9575429528116719,0.7818314824680298,0.6234898018587336,66.4,0.0,0.0,1.0431211498973305
2023-01-18,56449968.0,56449968.0,54.8,87222450.0,-28813414.0,0.0,0.0,0.0,0.0,0.0,-1959068.0,18,2,1,2023,0,0,0,0,CLEAN,1.026146,56449968.0,NONE,58409036.0,0.9664595046560946,0.9664595046560946,59472416.0,58264068.0,58373949.0,58099324.0,56488298.0,66.4,61.5,59325092.428571425,1212882.6848203796,60063196.004807524,62.5,0.49999999999999994,0.8660254037844387,0.3047192331091634,0.9524422234305676,0.9749279121818236,-0.22252093395631434,54.8,0.0,0.0,1.0458590006844628
2023-01-19,56794903.0,56794903.0,56.3,87228268.0,-28718942.0,0.0,0.0,0.0,0.0,0.0,-1714424.0,19,3,1,2023,0,0,0,0,CLEAN,1.026215,56794903.0,NONE,58509326.0,0.9706982951743454,0.9706982951743454,56449968.0,59472416.0,57754634.0,59291669.0,59262576.0,54.8,66.4,59050238.0,1615516.3468964747,59906454.33814086,60.31428571428571,0.49999999999999994,0.8660254037844387,0.321057654185271,0.9470596510722283,0.43388373911755823,-0.900968867902419,56.3,0.0,0.0,1.0485968514715949
